sumber,url,judul,author,tanggal_publikasi,isi_berita
liputan6.com,https://www.liputan6.com/lifestyle/read/6057203/bumbu-beku-vs-bumbu-kering-mana-yang-lebih-tahan-lama,"Bumbu Beku vs Bumbu Kering, Mana yang Lebih Tahan Lama?",Asnida Riani,"Diperbarui 20 Jun 2025, 05:50 WIB","Liputan6.com, Jakarta -Ada berbagai cara untuk memperpanjang usia simpanbumbu, dan di antara dua metode populernya adalah mengeringkan atau membekukannya. Keduanya memiliki karakteristik dan keunggulan masing-masing. Lantas, mana yang lebih tahan lama dan cocok untuk kebutuhan Anda?
Untuk menjawab pertanyaan itu, Anda perlu memahami perbedaan antara bumbu beku danbumbu keringdari berbagai aspek, mulai dari proses produksi, daya simpan, intensitas rasa, hingga pengaruhnya terhadap tekstur masakan. Dengan memahami perbedaan ini, Anda dapat memilih jenis bumbu yang paling sesuai dengan preferensi dan kebutuhan Anda.
Baca Juga
MelansirAlmanac, Jumat (20/6/2025), beberapa rempah merespons paling baik terhadap pembekuan, sementara yang lain justru lebih cocok untuk pengeringan. Selain itu, ada pula beberapa rempah yang dapat dibekukan, sekaligus dikeringkan.
Advertisement
Pembekuan mengawetkan minyak esensial, dan minyak inilah yang memberi rasa pada rempah. Membekukan rempah mudah dilakukan. Tidak perlu merebusnya, cukup cuci, pisahkan daun dari batangnya, dan biarkan mengering di atas nampan datar untuk membuatbumbu beku."
liputan6.com,https://www.liputan6.com/disabilitas/read/6051220/autisme-pada-anak-ini-ciri-awal-yang-perlu-diwaspadai-orangtua,"Autisme pada Anak, Ini Ciri Awal yang Perlu Diwaspadai Orangtua",Dyah Puspita Wisnuwardani,"Diperbarui 13 Jun 2025, 09:00 WIB","Liputan6.com, Jakarta -Autismebukanlah satu kondisi yang bisa digeneralisasi. Saat ini, istilah yang lebih tepat digunakan adalah gangguan spektrum autisme atauautism spectrum disorder(ASD). Sebab, kondisi ini memiliki rentang gejala dan tingkat keparahan yang luas—dari ringan, sedang, hingga berat.
Menurut dr. Citra Raditha, Sp.A(K), Spesialis Anak Subspesialis Neurologi Anak dari RSAB Harapan Kita,autisme adalahgangguan perkembangan dan perilaku yang ditandai oleh tiga hal utama: gangguan interaksi sosial, komunikasi dua arah, serta perilaku yang terbatas dan berulang-ulang.
Baca Juga
“Autisme itu gangguan perkembangan dan perilaku, di mana terdapat defisit dalam interaksi dua arah, sosialisasi, dan komunikasi dua arah. Ditambah dengan keterpakuan atau obsesi terhadap sesuatu, seperti gerakan, rutinitas, atau minat tertentu yang dilakukan secara berulang-ulang,” jelas dr. Citra dalam Talkshow Keluarga Sehat Kementerian Kesehatan (Kemenkes), dikutip Jumat (13/6).
Advertisement
Selama ini, masih banyak masyarakat yang berpikir bahwaanak dengan autismepasti menunjukkan gejala ekstrem, seperti sama sekali tidak bicara atau tidak mau berinteraksi. Padahal, menurut dr. Citra, tidak semua anak dengan autisme menunjukkan tanda yang mencolok.
“Sekarang autisme itu punya spektrum. Jadi ada yang ringan, sedang, hingga berat. Anak dengan spektrum ringan bisa saja masih berinteraksi atau berbicara, tapi tetap ada gangguan dalam kualitas interaksi atau komunikasinya. Inilah yang kadang membuat diagnosis terlewat,” katanya.
Ia juga menambahkan bahwa diagnosis autisme tidak bisa dilakukan hanya dari satu gejala saja. Harus dilihat secara menyeluruh melalui berbagai kriteria."
liputan6.com,https://www.liputan6.com/cek-fakta/read/6056618/cek-fakta-hoaks-tautan-pendaftaran-gebyar-hadiah-bank-bca-2025,Cek Fakta: Hoaks Tautan Pendaftaran Gebyar Hadiah Bank BCA 2025,Adyaksa Vidi,"Diperbarui 19 Jun 2025, 15:00 WIB","Liputan6.com, Jakarta -Beredar di media sosial postingan tautan pendaftaran untuk Gebyar HadiahBCAtahun 2025. Postingan itu beredar sejak pekan lalu.
Salah satu akun ada yang mengunggahnya di Facebook. Akun itu mempostingnya pada 16 Juni 2025.
Baca Juga
Berikut isi postingannya:
Advertisement
""Khusus Bagi Seluruh nasabah Bank BCA Tahun 2025*Gebyar Undian Bank Central Asia hadir lagi di Tahun 2025, Apresiasi dari Bank (BCA), Ayo buruan daftar & Menangkan hadiah nya.Apresiasi Hadiah Undian :
• 3 Unit Mobil Mercedes Benz
• 3 Unit Mobil BMW
• 3 Unit Mobil Pajero Sport
• 3 Unit Mobil CR-V Turbo
• 3 Unit Mobil Fortuner
• 3 Unit Mobil X Pander
• 3 Unit Mobil BRIO
• 3 Unit Mobil Sigra
• 12 Unit Innova Zenix
• 25 Unit Motor Scoopy
• 120 Logam Mulia
• 25 Unit Hp iPhone 16 Promax
• 15 Unit Rumah Gratis
• 25 Unit Umroh Gratis Masih banyak berbagai hadiah menarik & mewah lainnya dari Bank BCABuruan Daftar Sekarang (GRATIS).""
Postingan itu juga disertai dengan tautan yang mengarah pada website tertentu.
Lalu benarkah postingan tautan pendaftaran untuk Gebyar Hadiah BCA tahun 2025?"
detik.com,https://sport.detik.com/raket/d-7972326/nasib-rinov-mentari-di-tangan-rionny,Nasib Rinov/Mentari di Tangan Rionny,Mercy Raya -Sport,"Kamis, 19 Jun 2025 16:50 WIB","Terkait masa depanRinov Rivaldy/Pitha Haningtyas Mentari,Kabid Binpres PBSI Eng Hianmenyerahkan keputusan sepenuhnya kepada pelatih ganda campuranRionny Mainaky.
Hal ini sekaligus menjawab pernyataan Rinov, yang sempat meminta rehat kepada pelatih karena merasa permainannya sedang stagnan.
Rinov, yang kembali berpasangan dengan Mentari sejak Kejuaraan Asia 2025, tak memperlihatkan peningkatan signifikan. Hasilnya cuma sampai perempatfinal.
SCROLL TO CONTINUE WITH CONTENT
Di Singapore Open setelah itu juga tak lebih baik. Mereka tersingkir di babak 32 besar. Hasil serupa lantas didapatkan saat Rinov/Mentari main di Indonesia Open 2025.
""Itu kembali lagi ke kebijakan pelatih, itu salah satu program dari pelatih, bagaimana meningkatkan performa atletnya. Salah satunya memberikan waktu untuk diskusi komunikasi dengan keluarga itu adalah program pelatih. Kalau dibutuhkan silakan,"" kata Eng Hian saat ditemui di Pelatnas PBSI, Cipayung, Jakarta.
""Tapi sejauh ini kami lihatRinov/Mentarimasih berlatih normal kok. Cuma yang selalu yang kami evaluasi adalah bagaimana nih pencapaiannya sudah sesuai target belum dengan kapasitas mereka?""
""Kan enggak mungkin kami ngomong dia di level 100. Di level 500 juga kami harapkan dengan masa (waktu) dia di Pelatnas, usia, itu kan pencapaiannya paling enggak 500 apa nih? semifinal? final? juara? Kalau enggak ada pencapaian, ya pelatihnya bagaimana tanggung jawabannya?"" ucapEng Hian.
Dalam pantauandetikSport,Rinovsudah terlihat menjalani latihan di Pelatnas bersama rekan-rekannya, termasuk Dejan Ferdinansyah pada Rabu (18/6/2025). Mereka melakukan game dengan format 2 vs 4 di bawah pengawasan Rionny selaku pelatih dan Koordinator Tim Pelatih PBSI Mulyo Handoyo.
Meski begitu, belum ada keputusan terkait masa depan Rinov/Mentari hingga saat ini. Apakah terus lanjut atau merombak lagi, mengingat komposisi ganda campuran saat ini kembali ganjil.
""Belum (ada keputusan apapun). Merombak? Iya kemungkinan masih bisa. Mungkin. Kami beri opsi sebesar besarnya, seluas-luasnya kepada pelatih, yang kami harapkan, targetkan, sampai akhir tahun (2025) mix double berapa gelar? Ganda putra berapa kelar? Tunggal putra berapa gelar? Dengan levelnya masing-masing,"" ujarnya.
""Ya kan enggak mungkin saya taruh Ubed (Moh. Zaki Ubaidillah) untuk target di level 1000? atau Alwi (Farhan) kami minta di level 1000 kan enggak. Kami harus sesuaikan lagi tapi kami minta pencapaian itu kalau enggak tercapai ya .... sejauh mana pencapaian itu,"" kata Eng Hian menyebut dua nama pebulutangkis muda di nomor tunggal putra."
liputan6.com,https://www.liputan6.com/crypto/read/6052704/volatilitas-mereda-bitcoin-jadi-pertimbangan-masuk-portofolio-investasi,"Volatilitas Mereda, Bitcoin Jadi Pertimbangan Masuk Portofolio Investasi",Agustina Melani,"Diperbarui 16 Jun 2025, 06:00 WIB","Liputan6.com, Jakarta -Pendiri Coatue Management LLC, Philippe Laffont menuturkan investor mungkin tidak nyaman dengan volatilitasbitcoinpada tahun-tahun awalnya. Namun, menurut Philippe, beberapa faktor muncul yang akan menjadikan kripto andalan ini menjadi bagian penting dari portofolio.
Ia menyampaikan hal itu di State of Crypto Summit Coinbase di New York, seperti dikutip dariCNBC, ditulis Senin (16/6/2025).
Baca Juga
Sebagai permulaan, meskipun bitcoin telah berhasil melonjak hampir 13% pada 2025, Laffont mengatakan, volatilitas mata uangkriptotelah menurun seiring berjalannya waktu.
Advertisement
Ia menuturkan, perubahan harga Bitcoin yang dramatis telah menjadi penghalang bagi calon investor dalam mata uang kripto, dan pada satu titik, volatilitas ini membuat Coatue tidak masuk ke bitcoin.
""Bagi saya menarik bahwa mungkin, biaya untuk masuk ke bitcoin menyusut,” kata Laffont di State of Crypto Summit Coinbase di New York City.
""Jika beta menyusut, itu akan sangat menarik,"" ia menambahkan.
Beta adalah pengukuran volatilitasasetdibandingkan dengan pasar. Ia mengatakan, langkah investor institusional untuk menerima bitcoin juga merupakan tanda kedewasaan mata uang kripto. Pertimbangkan BlackRock adalah salah satu pelopor yang membawa ETF bitcoin ke pasar."
liputan6.com,https://www.liputan6.com/lifestyle/read/6056725/setiap-mood-punya-rasa-ini-6-varian-mie-sedaap-untuk-temani-setiap-aktivitasmu,"Setiap Mood Punya Rasa, Ini 6 Varian Mie Sedaap untuk Temani Setiap Aktivitasmu",Gilar Ramdhani,"Diperbarui 19 Jun 2025, 15:03 WIB","Liputan6.com, JakartaMie instan memiliki kekuatan untuk mengubahmoodatau suasana hati menjadi lebih bersemangat. Tekstur mie yang kenyal, bumbu dan kuah kaya rempah bisa merangsang hormon bahagia di otak. Enggak heran kalau setiap orang setelah menyantap mie instan seperti Mie Sedaap, hari-hari terasa lebih cerah dan energi kembali menggebu.
Sejak pertama kali hadir pada tahun 2003, Mie Sedaap telah menjadi bagian keseharian masyarakat Indonesia, dengan cita rasa autentik dan inovasi terus-menerus. Dari pelopor topping kriuk (bawang goreng) dan koya di Indonesia hingga varian terbaru seperti Korean Spicy Chicken (KSC) dan Singapore Spicy Laksa mengikuti tren dunia. Dengan berbagai varian rasa itulah, Mie Sedaap menjelma jadi teman setia di berbagai aktivitas dan membuat suasana hati terasa lebih baik.
Baca Juga
Berikut ini 6 varian Mie Sedaap untuk menemanimu di setiap aktivitas dengan mood berbeda. Temukan rasa yang paling cocok dengan suasana harimu.
Advertisement"
detik.com,https://travel.detik.com/domestic-destination/d-7970420/pesona-batang-pele-di-raja-ampat-hutan-lindung-yang-dikepung-tambang,"Pesona Batang Pele di Raja Ampat, Hutan Lindung yang Dikepung Tambang",Rosmha Widiyani -detikTravel,"Rabu, 18 Jun 2025 15:39 WIB","Batang Pele atau kerap ditulis Batangpele adalah pulau kecil di kawasan Raja Ampat yang kaya nikel dan sumber daya alam hayati. Dengan luas hanya 2.000 hektare atau kurang lebih 20 km2, Batang Pele berperan penting dalam konservasi alam di Raja Ampat.
Batang Pele yang termasuk pulau kecil bahkan sangat kecil ini hampir separuhnya adalah hutan lindung. Dikutip dari situs lembaga nonprofit Mongabay, hutan lindung Batang Pele punya spesies endemik dan yang dilindungi. Beberapa spesies tersebut adalah
Tumbuhan dengan nama ilmiahEucalyptus degluptaatau rainbow eucalyptus ini dikenal juga dengan nama pohon leda. Seperti namanya, kulit pohon ini berwarna seperti pelangi bukan coklat seperti pohon kebanyakan. Tanaman ini adalah flora endemik di Papua Niugini, Papua, Pulau Seram, Maluku, dan Sulawesi.
SCROLL TO CONTINUE WITH CONTENT
Trembesi dengan ciri tajuk yang sangat lebar ini adalah penyerap CO2paling baik dibanding pohon lain. Pohon dengan nama ilmiahSamanea samanini dikenal juga sebagai pohon hujan atau kihujan. Daun trembesi otomatis menutup saat mendung atau hujan, sehingga air yang turun bisa langsung sampai ke lahan. Trembesi biasa ditanam di ruang publik karena butuh area yang luas.
Parijoto dianggap sebagai tanaman hutan terindah dengan daun yang selalu hijau dan buah berwarna merah ungu. Saat masih muda, warna buah parijoto adalah merah muda sehingga terlihat sangat cantik dan kontras dengan batangnya yang berwarna coklat. Parijoto tumbuh liar di gunung hutan dan dibudidayakan sebagai tanaman hias.
Flora dengan nama latinVaccinium varingiafoliumini tumbuh di ketinggian 1.800-3.340 meter. Ukuran pohon ini memang kecil dengan tinggi hanya 2,5-5 meter dan diameter 50 cm, namun akar dan kayunya sangat kuat. Saking kuatnya, pendaki biasa berpegangan pada cantigi saat melewati lahan terjal. Cantigi dicirikan dengan daun hijau lonjong yang berwarna kemerahan saat muda.
Kekayaan Batang Pele tersimpan juga di perut bumi berupa nikel. Data GeoRIMA ESDM menjelaskan potensi nikel Batang Pele sebagai berikut:
Pemegang Izin Usaha Pertambangan (IUP) Batang Pele adalah PT Mulia Raymond Perkasa (MRP) melalui pemerintah daerah setempat. Padahal, Batang Pele sebagai pulau kecil tak seharusnya bisa dieksploitasi apalagi statusnya adalah hutan lindung.
Pemerintah memang telah mencabut IUP yang diperoleh PT MRP, namun bukan tidak mungkin tambang kembali mengancam kelestarian hutan lindung Raja Ampat. Karena itu, masyarakat harus memastikan Batang Pele benar-benar terlindung dari keserakahan yang tidak bertanggung jawab."
okezone.com,https://economy.okezone.com/read/2025/06/20/278/3148905/ihsg-sesi-i-turun-ke-level-6-918,IHSG Sesi I Turun ke Level 6.918,Cahya Puteri Abdi Rabbi,", Jurnalis-Jum'at, 20 Juni 2025 |11:58 WIB","JAKARTA - Indeks Harga Saham Gabungan (IHSG) ditutup turun 0,72 persen atau 50,39 poin ke level 6.918 pada perdagangan sesi pertama, Jumat (20/6/2025).
Siang ini, total volume saham yang diperdagangkan sebanyak 13,88 miliar saham dengan nilai transaksi mencapai Rp7,07 triliun, dan ditransaksikan sebanyak 680.010 kali. Adapun, sebanyak 395 saham harganya turun, 177 saham harganya naik dan 224 saham lain harganya stagnan.
Sektor teknologi turun 0,47 persen, sektor energi turun 0,50 persen, sektor bahan baku turun 0,89 persen, sektor kesehatan turun 0,49 persen, sektor infrastruktur 0,67 persen, sektor keuangan turun 0,78 persen, sektor industri turun 0,88 persen, sektor properti turun 1,46 persen, sektor siklikal turun 0,78 persen, dan sektor non siklikal turun 0,74 persen. Sedangkan sektor transportasi menjadi satu-satunya sektor yang menguat dengan naik 0,76 persen.
Adapun, tiga saham yang menempati posisi top gainers yaitu PT Master Print Tbk (PTMR) naik 34,08 persen ke Rp240, PT Chitose Internasional Tbk (CINT) naik 24,55 persen ke Rp208, dan PT Andalan Sakti Primaindo Tbk (ASPI) naik 20,87 persen ke Rp278."
okezone.com,https://sports.okezone.com/read/2025/06/19/43/3148800/shohibul-fikri-menggebu-gebu-diduetkan-dengan-fajar-alfian-dia-kiblat-saya,Shohibul Fikri Menggebu-gebu Diduetkan dengan Fajar Alfian: Dia Kiblat Saya!,Bagas Abdiel,", Jurnalis-Kamis, 19 Juni 2025 |22:34 WIB","JAKARTA– Pebulu tangkis ganda putra Indonesia,Muhammad Shohibul Fikri, girang diduetkan denganFajar Alfian. Pasalnya, Fajar jadi kiblatnya dalam ukir karier di dunia bulu tangkis.
Fikri pun tanpa ragu menyebut Fajar merupakan idolanya. Kini, dia tak sabar tampil bersama Fajar di sejumlah turnamen.
Fajar/Fikri merupakan duet teranyar di sektor ganda putra pelatnas PBSI. Mereka akan menjalani tur Asia Timur di dua turnamen, yakni Japan Open dan China Open 2025.
Akan tetapi, duet Fajar/Fikri bersifat sementara. Pasalnya pasangan ini mengisi kekosongan dari Fajar dan Fikri yang tengah ditinggal partnernya masing-masing.
Fajar sedang tidak bisa berduet dengan Rian yang tengah menemani sang istri untuk kelahiran anak pertama. Sementara itu, Fikri harus menunggu Daniel Marthin yang tengah menjalani pemulihan cedera lutut.
Meski berduet dengan Fajar hanya sementara, Fikri merasa senang. Sebab, Fikri menjadikan Fajar sebagai idola sekaligus kiblat permainannya di bulu tangkis.
""Pertama Alhamdullilah bisa ikut pertandingan lagi. Senang juga ya kan bisa dikasih kesempatan, yang dikasih partner dengan Fajar,"" ungkap Fikri saat ditemui di Pelatnas PBSI Cipayung, dikutip Kamis (19/6/2025).
""Dulu sempat main di Kejurnas (Kejuaraan Nasional 2018), sekarang mau coba lagi, senang lagi partner dengan idola jadinya menggebu-gebu,"" tambahnya.
""Iya (Fajar) idola (saya) banget. Kiblat saya dia,"" lanjut pemain jebolan SGS Bandung tersebut."
detik.com,https://finance.detik.com/moneter/d-7973309/bri-life-bayar-klaim-rp-1-93-triliun-hingga-mei-2025,"BRI Life Bayar Klaim Rp 1,93 Triliun hingga Mei 2025",Rista Rama Dhany -detikFinance,"Jumat, 20 Jun 2025 09:07 WIB","PT Asuransi BRI Life mencatat total pembayaran klaim dan manfaat asuransi sebesar Rp 1,93 triliun hingga Mei 2025. Angka ini tumbuh 4,1% secara tahunan (year-on-year/YoY), namun masih berada di bawah target atau rencana yang telah ditetapkan perusahaan.
Klaim tersebut mencakup berbagai jenis manfaat perlindungan, mulai dari risiko kesehatan hingga meninggal dunia. BRI Life menilai, pembayaran klaim merupakan bentuk komitmen perusahaan dalam memberikan perlindungan optimal kepada nasabah serta bagian dari kewajiban yang harus dijalankan.
Salah satu bentuk realisasi komitmen itu terlihat dalam penyerahan klaim asuransi jiwa Davestera kepada dua ahli waris nasabah asal Kutai, Kalimantan Timur. Total nilai klaim yang dibayarkan kepada kedua pihak tersebut mencapai lebih dari Rp 1,5 miliar.
SCROLL TO CONTINUE WITH CONTENT
Ahli waris dari almarhum Jasri menerima manfaat asuransi senilai Rp 1.060.223.753, sementara ahli waris dari almarhumah Mariani memperoleh pembayaran klaim sebesar Rp 505.081.736. Penyerahan dilakukan secara seremonial dan dihadiri oleh jajaran manajemen BRI Life serta perwakilan dari BRI Regional Office Banjarmasin.
Direktur Pemasaran BRI Life Sutadi menyampaikan bahwa pembayaran klaim merupakan momen penting bagi nasabah, di mana peran asuransi terasa nyata saat menghadapi masa-masa sulit seperti sakit atau meninggal dunia. Ia menegaskan bahwa BRI Life berkomitmen untuk terus melayani dengan integritas dan mematuhi ketentuan polis serta regulasi yang berlaku.
""BRI Life senantiasa memastikan hak nasabah terpenuhi melalui pembayaran klaim yang legitimate dan sesuai ketentuan. Kami patuh terhadap regulasi yang ditetapkan oleh Otoritas Jasa Keuangan (OJK),"" ujar Sutadi, dalam keterangannya, Jumat (20/6/2025).
Menurutnya, BRI Life juga berpegang pada standard operating procedure (SOP) perusahaan dalam setiap proses pembayaran klaim demi menjaga akurasi, transparansi, dan akuntabilitas layanan. Pihaknya berharap langkah ini dapat meningkatkan kepercayaan nasabah dan mendorong kesadaran masyarakat akan pentingnya memiliki perlindungan jiwa.
Tonton juga Video: 129 Tahun BRI Mewujudkan Inovasi dan Pelayanan Prima untuk Indonesia
[Gambas:Video 20detik]"
