link,website
https://www.sindonews.com/feed,sindonews
https://nasional.sindonews.com/rss,sindonews
https://international.sindonews.com/rss,sindonews
https://daerah.sindonews.com/rss,sindonews
https://lifestyle.sindonews.com/rss,sindonews
https://sports.sindonews.com/rss,sindonews
https://ekbis.sindonews.com/rss,sindonews
https://kalam.sindonews.com/rss,sindonews
https://tekno.sindonews.com/rss,sindonews
https://otomotif.sindonews.com/rss,sindonews
https://edukasi.sindonews.com/rss,sindonews
https://www.kapanlagi.com/feed/,kapanlagi
https://www.fimela.com/sitemap_news.xml,fimela
https://www.fimela.com/beauty/sitemap_news.xml,fimela
https://www.fimela.com/entertainment/sitemap_news.xml,fimela
https://www.fimela.com/fashion/sitemap_news.xml,fimela
https://www.fimela.com/lifestyle/sitemap_news.xml,fimela
https://www.fimela.com/food/sitemap_news.xml,fimela
https://finance.detik.com/rss,detik
https://finance.detik.com/berita/rss,detik
https://sport.detik.com/rss,detik
https://sport.detik.com/berita/rss,detik
https://news.detik.com/berita/rss,detik
https://news.detik.com/rss,detik
https://oto.detik.com/berita/rss,detik
https://oto.detik.com/rss,detik
https://travel.detik.com/rss,detik
https://travel.detik.com/berita/rss,detik
https://hot.detik.com/berita/rss,detik
https://hot.detik.com/rss,detik
https://feed.liputan6.com/rss/news,liputan6
https://feed.liputan6.com/rss/bisnis,liputan6
https://feed.liputan6.com/rss/bola,liputan6
https://feed.liputan6.com/rss/tv,liputan6
https://feed.liputan6.com/rss/showbiz,liputan6
https://feed.liputan6.com/rss/tekno,liputan6
https://feed.liputan6.com/rss/photo,liputan6
https://feed.liputan6.com/rss/hot,liputan6
https://feed.liputan6.com/rss/cek-fakta,liputan6
https://feed.liputan6.com/rss/islami,liputan6
https://feed.liputan6.com/rss/saham,liputan6
https://feed.liputan6.com/rss/crypto,liputan6
https://feed.liputan6.com/rss/citizen6,liputan6
https://feed.liputan6.com/rss/regional,liputan6
https://feed.liputan6.com/rss/otomotif,liputan6
https://feed.liputan6.com/rss/opini,liputan6
https://feed.liputan6.com/rss/disabilitas,liputan6
https://feed.liputan6.com/rss/global,liputan6
https://feed.liputan6.com/rss/on-off,liputan6
https://feed.liputan6.com/rss/surabaya,liputan6
https://feed.liputan6.com/rss/lifestyle,liputan6
https://feed.liputan6.com/rss/health,liputan6
https://sindikasi.okezone.com/index.php/rss/0/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/1/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/11/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/12/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/13/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/14/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/2/RSS2.0,okezone
https://sindikasi.okezone.com/index.php/rss/16/RSS2.0,okezone
https://posmetro.co.id/feed/,posmetro
https://www.posmetromedan.com/feed/,posmetro
https://posmetro.co/feed/,posmetro
https://rss.kompas.com/api/feed/social?apikey=bc58c81819dff4b8d5c53540a2fc7ffd83e6314a,kompas
https://www.republika.co.id/rss/,republika
https://rss.tempo.co/,tempo
https://rss.tempo.co/politik,tempo
https://rss.tempo.co/hukum,tempo
https://rss.tempo.co/ekonomi,tempo
https://rss.tempo.co/lingkungan,tempo
https://rss.tempo.co/wawancara,tempo
https://rss.tempo.co/investigasi,tempo
https://rss.tempo.co/cekfakta,tempo
https://rss.tempo.co/tokoh,tempo
https://rss.tempo.co/newsletter,tempo
https://rss.tempo.co/info-tempo,tempo
https://www.tribunnews.com/rss,tribun
https://medan.tribunnews.com/rss,tribun
https://jabar.tribunnews.com/rss,tribun
https://surabaya.tribunnews.com/rss,tribun
http://jabar.tribunnews.com/rss,tribun
https://wartakota.tribunnews.com/rss,tribun
https://jogja.tribunnews.com/rss,tribun
http://jateng.tribunnews.com/rss,tribun
http://aceh.tribunnews.com/rss,tribun
https://www.kompas.com/rss,tribun
https://regional.kompas.com/rss,tribun
