sumber,url,judul,author,tanggal_publikasi,isi_berita
liputan6.com,https://www.liputan6.com/saham/read/6054867/harga-emas-berkilau-bagaimana-prospek-saham-brms,"Harga Emas Berkilau, Bagaimana Prospek Saham BRMS?",Pipit Ika Ramadhani,"Diperbarui 17 Jun 2025, 17:00 WIB","Liputan6.com, Jakarta -Saham PTBumi Resources MineralsTbk (BRMS) berbalik arah menguat pada perdagangan Selasa, (17/6/2025).
Mengutip data RTI, harga saham BRMS ditutup naik 0,88% ke posisi Rp 458 per saham. Harga saham BRMS dibuka turun ke posisi Rp 448 per saham dari penutupan sebelumnya Rp 454 per saham.
Baca Juga
Hargasaham BRMSberada di level tertinggi Rp 466 dan terendah Rp 432 per saham. Total frekuensi perdagangan 60.344 kali dengan volume perdagangan 19.663.688 saham. Nilai transaksi Rp 883,5 miliar.
Advertisement
Analis Sucor Sekuritas Andreas Yordan Tarigan memberikan rekomendasi “Buy” pada saham BRMS, seiring prospek pertumbuhan produksi emas yang dinilai eksplosif dan valuasi yang menarik.
Dalam riset terbarunya, Andreas menaikkan target harga (TP) saham BRMS menjadi Rp750 per saham, menandai keyakinan terhadap kemampuan perusahaan dalam memonetisasi cadangan emas besar dan menjalankan ekspansi.
Bumi Resources Minerals tercatat memiliki cadangan emas sebesar 5 juta ons, menjadikannya salah satu penambangemasterbesar di Indonesia. Kombinasi antara cadangan besar, dukungan pendanaan dari aksi korporasi sebelumnya, dan ekspansi yang terencana disebut menjadi fondasi utama dalam mendorong kinerja jangka panjang emiten ini.
""Kami melihat BRMS sebagai taruhan emas dengan keyakinan tinggi. Perusahaan ini punya semua elemen: cadangan besar, produksi tumbuh cepat, dan leverage terhadap harga emas yang sangat tinggi,” tulis Andreas dalam risetnya, dikutip Selasa (17/6/2025)."
liputan6.com,https://www.liputan6.com/bisnis/read/6055866/ini-dia-4-masalah-besar-konflik-agraria-transmigrasi,Ini Dia 4 Masalah Besar Konflik Agraria Transmigrasi,Tira Santia,"Diperbarui 18 Jun 2025, 18:15 WIB","Liputan6.com, JakartaWakil MenteriAgrariadan Tata Ruang/Wakil Kepala Badan Pertanahan Nasional (Wamen ATR/Waka BPN), Ossy Dermawan, menyatakan dukungan penuh terhadap peluncuran program unggulan Transmigrasi Tuntas atau Trans Tuntas yang diinisiasi oleh Kementerian Transmigrasi.
""Program Trans Tuntas merupakan bagian dari upaya besar pemerintah untuk menyelesaikan simpul-simpul permasalahan agraria di kawasantransmigrasi,"" kata Ossy dalam peluncuran program Trans Tuntas dan penyerahan SHM Warga Transmigrasi Lokal Sukabumi, di Kementerian Transmigrasi, Jakarta Selatan, Rabu (18/6/2025).
Ia mengungkapkan, kawasan transmigrasi selama ini menghadapi berbagai persoalan seperti status lahan yang tidak tuntas, tumpang tindih tata ruang, serta konflik agraria yang berlangsung berlarut-larut.
Advertisement
""Sehingga kami yakin bahwa program ini merupakan manifestasi dari satu gagasan besar bahwa tanah rakyat tidak boleh digantungkan statusnya. Tanah harus diberi kejelasan, dimaknai sebagai alat perjuangan, dan juga dimanfaatkan demi kehidupan yang lebih baik,"" ujarnya.
Lebih lanjut, Ossy menjelaskan bahwa tantangan agraria di kawasan transmigrasi bersifat struktural dan memerlukan pendekatan sistemik. Setidaknya terdapat empat tantangan utama yang harus dihadapi.
""Namun kita semua juga harus mengakui bahwa kita masih menghadapi realitas tantangan di lapangan yang tidak ringan untuk permasalahan tanah di kawasan transmigrasi ini,"" ujarnya."
liputan6.com,https://www.liputan6.com/cek-fakta/read/6054298/cek-fakta-hoaks-tautan-pendaftaran-gebyar-undian-bank-bri-2025,Cek Fakta: Hoaks Tautan Pendaftaran Gebyar Undian Bank BRI 2025,Adyaksa Vidi,"Diperbarui 17 Jun 2025, 13:00 WIB","Liputan6.com, Jakarta -Beredar di media sosial postingan tautan pendaftaran untuk gebyar undian Bank BRI tahun 2025. Postingan itu beredar sejak pekan lalu.
Salah satu akun ada yang mengunggahnya di Facebook. Akun itu mempostingnya pada 12 Juni 2025.
Baca Juga
Berikut isi postingannya:
Advertisement
""Hai Sobat BRI... Ikuti Keseruan BRImo FSTVL Menangkan Grand Prize & Hadiah Menarik Lainnya, Caranya Klik DAFTAR Dibawah Ini. CUKUP 1 KUPON UNTUK BISA MENANG
• 20 Unit Mobil Alphard
• 15 Unit Pajero Sport
• 50 Paket Umroh Gratis
• 27 Unit Motor Honda Beat
• 70 IPhone 15 Promax
• Dan Lain - Lain""
Postingan itu juga disertai dengan tautan yang mengarahkan kita pada website tertentu.
Lalu benarkah postingan tautan pendaftaran untuk gebyar undian Bank BRI tahun 2025?"
detik.com,https://news.detik.com/berita/d-7970909/ttd-bukan-singkatan-dari-tanda-tangan-ini-arti-sebenarnya,"TTD Bukan Singkatan dari Tanda Tangan, Ini Arti Sebenarnya",Widhia Arum Wibawana -detikNews,"Rabu, 18 Jun 2025 18:28 WIB","Istilah ""TTD"" sudah akrab digunakan masyarakat dalam berbagai urusan administrasi. Banyak yang menganggap bahwa TTD merupakan singkatan dari ""tanda tangan."" Namun, tahukah kamu bahwa informasi ini sebenarnya kurang tepat?
Dalam dokumen resmi, TTD memang kerap dijumpai di berbagai bagian yang mengharuskan seseorang memberi persetujuan atau pengesahan, seperti pada surat pernyataan, formulir, hingga dokumen hukum. Meski demikian, arti sesungguhnya dari TTD bukanlah singkatan dari ""tanda tangan"".
Menurut Kamus Besar Bahasa Indonesia (KBBI V Daring),ttd. adalah singkatan dari kata ""tertanda"", yang berarti ""sudah dibubuhi tanda"" atau ""sudah ditandatangani"". Dengan demikian, istilahttd.tidak merujuk pada aktivitas menandatangani, melainkan menunjukkan bahwa suatu dokumen telah diberi tanda tangan atau cap sah.
SCROLL TO CONTINUE WITH CONTENT
Sementara itu, KBBI mendefinisikan tanda tangan sebagai ""nama yang dituliskan secara khas dengan tangan oleh orang itu sendiri sebagai penanda pribadi (telah menerima, menyetujui, dan sebagainya)"".
Masih merujuk pada KBBI, terdapat beberapa istilah turunan dari tanda tangan yang umum digunakan, antara lain:
Mengutip dariAntara, jejak awal tanda tangan sudah ada sejak sekitar tahun 3000 SM (sebelum Masehi), dikenal di kalangan masyarakat Sumeria dan Mesir kuno. Pada masa itu, bentuk tanda tangan belum seperti sekarang, melainkan berupa simbol atau piktograf yang berfungsi menyampaikan makna atau identitas tertentu.
Seiring berkembangnya peradaban dan sistem tulisan, bentuk autentikasi ini pun ikut berubah. Sekitar tahun 439 M, masyarakat mulai menggunakan segel sebagai penanda resmi, sebelum akhirnya bertransformasi menjadi tanda tangan pribadi yang ditulis langsung dengan tangan.
Memasuki era digital, teknologi menghadirkan inovasi baru berupa tanda tangan elektronik. Jenis tanda tangan ini banyak digunakan dalam urusan administratif, terutama di pemerintahan dan sektor bisnis, karena dinilai lebih praktis dan efisien.
Selain mempermudah proses autentikasi dokumen tanpa perlu media fisik seperti kertas dan tinta, tanda tangan elektronik juga sejalan dengan tren digitalisasi yang makin berkembang. Meski demikian, tanda tangan tradisional masih memiliki nilai simbolik dan historis yang tetap dihargai hingga kini."
kompas.com,https://nasional.kompas.com/read/2025/06/19/09120791/kala-bos-sritex-bersuara-usai-tiga-kali-diperiksa-kejagung?utm_source=ABC&utm_medium=rss,Kala Bos Sritex Bersuara Usai Tiga Kali Diperiksa Kejagung....,"Shela Octavia, Robertus Belarminus","Kompas.com- 19/06/2025, 09:12 WIB","JAKARTA, KOMPAS.com- Tiga kali sudahIwan KurniawanLukminto menginjakkan kaki menyandang status sebagai saksi dalam kasusdugaan korupsipemberian kredit oleh sejumlahbank daerahdan bank pemerintah kepada perusahaan yang dipimpinnya, PT Sri Rejeki Isman TBK (Sritex).
Iwan yang kini menjabat Direktur Utama induk perusahaan Sritex, diperiksa dalam kapasitasnya sebagai Wakil Dirut.
Ia bersaksi untuk membuat terang kasus dugaan korupsi yang menjerat kakaknya, Iwan Setiawan Lukminto.
Dalam dua pemeriksaan terakhir, Iwan enggan bicara banyak kepada awak media yang menunggunya.
Baca juga:Penuhi Panggilan Kejagung, Bos Sritex Iwan Kurniawan: Mohon Doanya
Selasa (10/6/2025) pekan lalu, Iwan mengaku hanya ditanya soal tugasnya di perusahaan.
Dalam pemeriksaan terakhir, Rabu (18/6/2025), Iwan sedikit lebih terbuka dibandingkan sebelumnya.
Dari 12 pertanyaan yang disebutkan penyidik, beberapa di antaranya menyasar soal pengajuan kredit.
“Yang diketahui oleh klien saya, ini kredit itu hanya untuk mengembangkan usaha dan untuk pembayaran kepada kerja,” ujar kuasa hukum Iwan, Calvin Wijaya, saat ditemui di lobi Gedung Bundar Jampidsus Kejagung, Jakarta, Rabu sore.
Saat ditanya substansi, Iwan seakan ‘dilindungi’ oleh dua pengacara yang mendampinginya.
Mereka tidak ingin Iwan bicara terlalu jauh hingga masuk ke substansi.
Bagi mereka, substansi haruslah disinggung penyidik.
Tapi, pengacara Iwan lainnya, Rocky Martin, sempat menyinggung soal pengajuan dan pemberian kredit.
“Jadi, bank yang approach ke klien kami, bukan kami yang approach ke bank,” ujar Rocky."
liputan6.com,https://www.liputan6.com/news/read/6055940/dirut-sritex-klaim-kredit-bank-untuk-mengembangkan-usaha-dan-bayar-pekerja,Dirut Sritex Klaim Kredit Bank untuk Mengembangkan Usaha dan Bayar Pekerja,Tim News,"Diperbarui 18 Jun 2025, 18:28 WIB","Liputan6.com, Jakarta -Direktur Utama (Dirut) PT Sri Rejeki Isman aliasSritex,Iwan Kurniawan Lukmintorampung diperiksa penyidik Kejaksaan Agung (Kejagung). Pemeriksaan yang berlangsung selama kurang lebih tujuh jam, Bos Sritex tersebut dicecar soal kasus korupsi pemberian kredit terhadap PT Sritex yang menjerat kakaknya Iwan Setiawan Lukminto (ISL).
Iwan menerangkan pada pemeriksaan dirinya kali ini hanyalah pemeriksaan tambahan sekaligus dia juga menyerahkan beberapa dokumen terkait PT Sritex.
Baca Juga
""Jadi tadi ada sekitar 12 pertanyaan oleh penyidik dan dokumen-dokumen kelengkapan juga sudah saya serahkan,"" kata Iwan Kurniawan di Kejagung, Rabu (18/6).
Advertisement
Dia berharap agar dengan pemeriksaan penyidik terhadap dirinya dapat membuat terang korupsi yang membuat negara rugi Rp692,2 miliar akibat penyimpangan dalam pemberian kredit dari Bank BJB dan Bank DKI kepada PT Sritex.
Sementara itu kuasa hukum Iwan Kurniawan Lukminto, Calvin Wijaya mengatakan, kliennya mengetahui soal pemberian kredit dari bank kepada Sritex yang sejatinya diperuntukkan untuk keperluan perusahaan.
Sekiranya ada 20 bank yang memberikan kredit tersebut di antaranya termasuk Bank BJ, Bank DKI. Lalu Bank BUMN, hinga Bank Swasta.
""Nah, yang diketahui oleh klien saya ini kredit itu hanya untuk mengembang usaha dan untuk pembayaran kepada kerja,"" ujar Calvin.
Calvin mengklaim kredit dari beberapa bank tersebut ke perusahaan kliennya sudah sesuai untuk peruntukkannya."
liputan6.com,https://www.liputan6.com/otomotif/read/6053828/segini-harga-ferrari-purosangue-yang-terguling-saat-diangkut-truk-towing-di-tol-cengkareng,Segini Harga Ferrari Purosangue yang Terguling saat Diangkut Truk Towing di Tol Cengkareng,Arief Aszhari,"Diperbarui 16 Jun 2025, 17:32 WIB","Liputan6.com, Jakarta -Kejadiaan nahas terjadi di Jalan Tol Cengkareng, Jakarta Barat, truk towing yang tengah mengangkut crossover mewahFerrari Purosangueterguling di jalur bebas hambatan tersebut, Minggu (15/6/2025).
Dalam video yang beredar di media sosial, terlihat mobil towing tersebut dalam posisi terguling di badan jalan. Sebuah mobil Ferrari berwarna hitam yang tengah dibawa, juga tampak ikut terguling dan tertutup kain penutup.
Baca Juga
Terkait kejadian ini, Kainduk PJR Bitung AKP Andy Pradana menyebut bahwa mobil Ferrari yang terlibat dalam kecelakaan telah diderek oleh pemiliknya.
Advertisement
""Ferrari sudah diderek yang punya, Pak,"" ujar Andy saat dikonfirmasi.
Berbicara Ferrari Purosangue, adalah sebuahcrossover mewahnan canggih. Mengacu pada harga jual global, Purosangue dibanderol mulai dari €390.000 atau sekitar Rp 5,5 miliar sebelum pajak dan biaya impor.
Namun, setelah pencantuman berbagai komponen pajak seperti bea masuk dan PPnBM yang tinggi di Indonesia, estimasi harga bisa 2–3 kali lipat, menjadikan kisaran harga berada di Rp 11 sampai Rp 16 miliar.
Dari segi performa, Purosangue adalah FUV (Ferrari Utility Vehicle) pertama dengan konfigurasi mesin V12 naturally aspirated 6.496 cc menghasilkan tenaga 715 hp pada 7.750 rpm dan torsi puncak 716 Nm pada 6.250 rpm.
Secara dimensi, Purosangue sarat atmosfer Ferrari dengan desain aerodinamis, bodi 4.973 mm, lebar 2.028 mm, tinggi 1.589 mm, serta jarak sumbu roda 3.018 mm, memberikan ruang kabin full‑size untuk empat orang.
Fitur pintu belakang modelsuicide doormemudahkan akses, sementara kabin depannya dilengkapi layar sentuh 10 inci ganda, bagi pengemudi dan penumpang."
liputan6.com,https://www.liputan6.com/cek-fakta/read/6051879/gaji-hakim-bakal-naik-hingga-280-persen-intip-rinciannya,"Gaji Hakim Bakal Naik hingga 280 Persen, Intip Rinciannya",Hanz Jimenez Salim,"Diperbarui 14 Jun 2025, 07:00 WIB","Liputan6.com, Jakarta - hanKabar gembira bagi parahakimdi Indonesia, Presiden Prabowo Subianto mengumumkan akan menaikkan gaji hakim secara signifikan. Pengumuman yang disampaikan pada 12 Juni 2025 ini tentu menjadi angin segar bagi para abdi negara di bidang peradilan. Kenaikan gaji hakim ini diharapkan dapat meningkatkan kesejahteraan serta integritas para hakim di seluruh Indonesia.
Langkah ini diambil pemerintah sebagai bentuk apresiasi atas kinerja para hakim. Selain itu, kenaikangaji hakimjuga diharapkan dapat meminimalisir praktik korupsi serta meningkatkan kualitas pelayanan peradilan di Indonesia. Sudah 18 tahun lamanya gaji hakim tidak mengalami penyesuaian, sehingga kenaikan ini menjadi momentum penting.
Advertisement
Baca Juga
Tidak hanya kenaikan gaji, pemerintah juga berencana untuk memperbaiki fasilitas perumahan bagi hakim yang masih berstatus kontrak. Hal ini menunjukkan komitmen pemerintah untuk meningkatkan kesejahteraan hakim secara menyeluruh. Lalu, berapa besar kenaikan gaji hakim?
Dikutip dari kanal Bisnis Liputan6.com, kenaikangajiini bervariasi sesuai golongan dan masa kerja. Profesi hakim di lingkungan peradilan umum, agama, dan tata usaha negara memiliki golongan yang terdiri dari golongan III/a-d dan IV/a-e dengan masa kerja 0-32 tahun.
Kebijakan tentang gaji hakim terakhir diatur dalam Peraturan Pemerintah (PP) nomor 44 tahun 2024 tentang Perubahan Ketiga atas Peraturan Pemerintah Nomor 94 Tahun 2012 tentang Hak Keuangan dan Fasilitas Hakim yang Berada di Bawah Mahkamah Agung oleh Presiden Joko Widodo pada tanggal 18 Oktober 2024.
Saat ini, profesi hakim dengan gaji paling rendah yaitu golongan III/a dengan masa kerja nol tahun, menerima gaji pokok sebesar Rp2.785.700.
Kemudian, gaji tertinggi hakim yaitu golongan IV/e yang telah mengabdi bekerja selama 32 tahun, mendapatkan gaji pokok sebesar Rp6.373.200."
liputan6.com,https://www.liputan6.com/crypto/read/6055395/minat-institusi-terhadap-kripto-meningkat-di-tengah-konflik-geopolitik-global,Minat Institusi terhadap Kripto Meningkat di Tengah Konflik Geopolitik Global,Gagas Yoga Pratomo,"Diperbarui 18 Jun 2025, 10:38 WIB","Liputan6.com, Jakarta -Minat dari kalanganinstitusiterhadap investasi di kripto terus mengalami lonjakan signifikan dalam beberapa pekan terakhir. Menurut laporan mingguan dari CoinShares, total arus masuk ke produk investasi kripto telah melampaui USD 13 miliar atau setara Rp 211 triliun (asumsi kurs Rp 16.290 per dolar AS) hanya dalam sembilan minggu terakhir.
MelansirCoinmarketcap, Rabu (18/6/2025), hal yang menarik, peningkatan ini tetap berlanjut meskipun terjadi ketegangan geopolitik global dalam beberapa hari terakhir. Hal ini memperkuat pandangan aset digital sepertikriptokini mulai dipandang sebagai alternatif penyimpanan nilai yang kuat, mirip dengan emas.
Baca Juga
Secara geografis, Amerika Serikat masih menjadi pusat arus masuk terbesar ke aset kripto, dengan total investasi mencapai USD 1,9 miliar pada minggu lalu. Negara lain seperti Jerman, Swiss, dan Kanada juga menunjukkan antusiasme tinggi dengan masing-masing mencatat arus masuk sebesar USD 39,2 juta, USD 20,7 juta, dan USD 12,1 juta.
Advertisement
Namun tidak semua wilayah menunjukkan tren serupa. Hong Kong dan Brasil justru mengalami arus keluar signifikan senilai USD 56,8 juta dan USD 8,5 juta, menandakan masih ada perbedaan sikap di kalangan investor global terhadap aset digital, tergantung pada faktor lokal dan regulasi.
Dari sisi aset,Bitcoinkembali menjadi magnet utama dengan arus masuk mencapai USD 1,3 miliar, setelah sebelumnya sempat mengalami arus keluar. Sementara itu, Ethereum menunjukkan tren pertumbuhan yang stabil, mencatatkan 8 minggu berturut-turut arus masuk, dengan total nilai investasi sebesar USD 2 miliar  termasuk USD 583 juta hanya dalam seminggu terakhir.
Beberapa altcoin seperti XRP dan Sui juga mendapatkan perhatian, menandakan semakin luasnya minat institusi terhadap aset digital di luar dua kripto utama."
liputan6.com,https://www.liputan6.com/showbiz/read/6055614/cara-denira-wiraguna-dalmi-peran-di-sinetron-bukan-karena-tak-cinta,Cara Denira Wiraguna Dalmi Peran di Sinetron Bukan Karena Tak Cinta,Zulfa Ayu Sundari,"Diperbarui 18 Jun 2025, 18:00 WIB","Liputan6.com, JakartaAktris Denira Wiraguna mengungkap proses pendalaman perannya sebagai Mala dalam sinetronBukan Karena Tak Cinta. Karakter tersebut digambarkan memiliki latar belakang penuh trauma yang menuntut kedalaman emosional dalam akting.
MenurutDenira Wiraguna, ia tidak memiliki referensi khusus dalam membentuk karakter tersebut, tapi berusaha mengaitkannya dengan perasaan pribadi. Mencoba memposisikan diri menjadi Mala.
Baca Juga
“Referensi sebenarnya enggak ada, cuma memang aku mencoba untukrelatesama diri aku sendiri walaupun traumanya enggakrelatesebenarnya. Cuma ya menjadi Mala itu seperti apa, aku cobarelateke diri aku,” jelasnya dalam konferensi pers virtual, Rabu (18/6/2025).
Advertisement
Denira Wiraguna juga cerita tentang pengalamannya membaca naskahBukan Karena Tak Cintauntuk kali pertama. Ia mengaku sudah langsung memiliki gambaran saat pertama kali baca naskah.
""Saat pertama kali aku baca skenarionya aku sudah kebayang mau bikin Mala seperti apa karena tangga emosinya, tumpukannya banyak banget,"" Denira Wiraguna menyambung. Untuk menampilkan akting maksimal, ia membocorkan tips, “Tinggal akurecallsaat akutake.”"
